location,category,tweet,location.1,latitude,longitude,datetime,multimodal,file_path,Disaster_Category,Relevancy,Priority,media_description,summary,responders_required
Sylmar,Evacuation Warning,"Oh dear, there's a fire near the Olive View hospital in Sylmar! 😥 They're saying we might have to leave our homes soon. An evacuation warning, they called it. I don't know what to do with all my cats! 🐈🐈🐈 #Wildfire #Emergency Los Angeles",Sylmar,34.33830967307141,-118.4687545043118,2025-01-08 21:12:01.532527,False,,Fire,True,2,,"Wildfire reported near Olive View hospital in Sylmar with evacuation warning, indicating potential need for evacuation assistance and fire control.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Incident Report,"Oh my god, there's a HUGE plume of smoke rising near the Eaton Canyon area in Altadena! Looks like a wildfire is starting. Hope everyone is being careful! #Wildfire #Altadena #Emergency",Altadena/Pasadena,34.21552307057346,-118.0948050503553,2025-01-23 08:46:34.418111,False,,Fire,True,3,,"A wildfire has been reported near Eaton Canyon in Altadena, indicated by a large smoke plume.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh god, oh god! The fire's jumped Sunset Blvd in Pacific Palisades! 😭 It's heading straight for the cell towers near the park! If those go down, we're all screwed! Can anyone confirm if the fire dept is even aware?! #Wildfire #PacificPalisades #Emergency #LosAngeles",Pacific Palisades,34.079229433329715,-118.560857753801,2025-03-09 11:39:45.457314,False,,Fire,True,2,,"Wildfire is spreading rapidly in Pacific Palisades, having jumped Sunset Blvd and approaching cell towers, potentially causing communication disruptions.","['firefighters', 'police', 'ambulance']"
Acton,Fire Near Key Infrastructure,"Ugh, this is SO not lit. 🙄 Literally. There's a HUGE wildfire near the Acton Metrolink station! Like, if that goes, how am I gonna get to the mall?! 🔥 Pls fire peeps, save the trains! #Wildfire #Emergency #LosAngeles #Acton #SaveTheMetrolink",Acton,34.49540945220251,-118.21343615551514,2025-01-09 23:13:38.677563,False,,Fire,True,3,,"Large wildfire reported near Acton Metrolink station in Los Angeles, posing a potential threat to the train station.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Heard scanner say fire near that big cell tower by Sunset Blvd in Pacific Palisades. Hope it don't take out the signal, gonna be a mess for everyone. #Wildfire #Emergency",Pacific Palisades,34.05474997386094,-118.51640469633456,2025-03-03 05:36:40.680842,False,,Fire,True,3,,"Report of a fire near a cell tower in Pacific Palisades, potential impact on communication infrastructure.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh dear, I think there's a fire near the big power lines up by Sunset Blvd in Pacific Palisades! 😥 Seems awfully close to the substation. Hope they get it under control soon! #Wildfire #Emergency Is this serious? Should I call someone?",Pacific Palisades,34.07343994377701,-118.5559875834381,2025-02-16 04:27:04.866462,False,,Fire,True,2,,"Possible wildfire reported near power lines and substation on Sunset Blvd in Pacific Palisades, indicating a potential threat to infrastructure.","['firefighters', 'police', 'ambulance']"
Acton,Fire Near Key Infrastructure,"Oh dear, oh dear! There's a HUGE fire near the Acton Power Station! 😱 I saw it from my porch on Sierra Highway. Seems like it's heading right for it! Hope they can stop it before the whole town loses power! 🙏 #Wildfire #Emergency #ActonFire",Acton,34.49499663131975,-118.2350696544022,2025-01-09 23:10:15.543712,False,,Fire,True,2,,"Large wildfire reported near Acton Power Station, potentially threatening power supply and requiring immediate attention.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"Ugh, this is SO not Gucci. 🙄 Huge flames near Sunset Blvd in Pacific Palisades! Like, is this the end of the world?? 🔥 Pls send help (and maybe some firefighters?) #Wildfire #Emergency #LAFire",Pacific Palisades,34.064021618693246,-118.50225246000436,2025-01-20 20:04:01.430238,False,,Fire,True,2,,"A wildfire is reported near Sunset Blvd in Pacific Palisades, and help is requested, indicating a potentially escalating situation.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,"Palisades lookin' HOT. Not in a good way. Roads near Sunset Blvd are jammed, fire crews blockin' everything. Can't get through to pick up my fare. This is a mess. #Wildfire #PacificPalisades #Emergency",Pacific Palisades,34.07254355484911,-118.53294975232087,2025-01-23 14:39:58.718992,False,,Fire,True,3,,"Wildfire reported in Palisades near Sunset Blvd causing road closures and traffic jams, fire crews are already present at the scene.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Ugh, this is NOT the vibe. 🔥 Wildfire near Runyon Canyon in the Hollywood Hills is getting kinda close to my house! Like, seriously, is this the apocalypse?? Pls send help before my selfie lighting is ruined! #Wildfire #Emergency #LosAngeles 🆘",Hollywood Hills near Runyon Canyon,34.10811586811883,-118.33497008668024,2025-01-08 18:42:21.622935,False,,Fire,True,2,,"Wildfire near Runyon Canyon is approaching a residential area, resident requests help as the fire is getting close to their house.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"Heads up, folks! Big fire breakin' out in the Hollywood Hills near Runyon Canyon. See flames creepin' up towards them cell towers on Mulholland. Could be trouble for service. Get outta there if you can! #Wildfire #Emergency",Hollywood Hills near Runyon Canyon,34.10807113857613,-118.36097916732082,2025-01-09 06:20:39.751948,False,,Fire,True,2,,"Large wildfire reported in Hollywood Hills near Runyon Canyon, flames approaching cell towers on Mulholland, potentially disrupting services.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,Huge plumes of smoke rising near Temescal Canyon in Pacific Palisades! Looks like a wildfire is kicking up. Hope everyone near the hiking trails is safe! 😥 #Wildfire #LosAngeles #Emergency,Pacific Palisades,34.0533307214525,-118.52555230617958,2025-02-16 22:44:13.673891,False,,Fire,True,3,,"Report of a wildfire with large smoke plumes near Temescal Canyon in Pacific Palisades, potentially endangering hikers.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Incident Report,"URGENT: We are receiving reports of a brush fire escalating rapidly in North Sepulveda, Los Angeles. Flames are visible near Mulholland Drive. Residents in the area should prepare for potential evacuation. Monitor official channels for updates. #Wildfire #Emergency. Will advise on further developments as they unfold. - AA",North Sepulveda,34.08474784182731,-118.47090388704495,2025-01-23 18:25:12.148476,False,,Fire,True,2,,"Brush fire escalating rapidly in North Sepulveda, Los Angeles, near Mulholland Drive, potential evacuation for residents.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Roadblock or Escape Issue,ARE YOU KIDDING ME?! They let this fire get THIS close to Altadena?! Now they're saying Windsor Ave is blocked off?! I can't even get to my damn house! This is what happens when you ignore the community! #Wildfire #LosAngeles #Emergency #Blocked #Unacceptable 😡🔥,Altadena/Pasadena,34.212987142107465,-118.08122009565736,2025-01-26 09:11:21.456668,False,,Fire,True,3,,"Wildfire near Altadena blocked Windsor Ave, preventing residents from reaching their homes.","['firefighters', 'police']"
West Hills,Incident Report,"West Hills lookin' HOT, and not in a good way! 🚕💨 Big fire near Valley Circle, see the smoke from here. Hope everyone's gettin' out. #Wildfire #Emergency Los Angeles Fire Dept, get on it! 🔥",West Hills,34.186770866695845,-118.62962760570338,2025-01-10 20:22:46.832498,False,,Fire,True,2,,"A large wildfire reported near Valley Circle in West Hills, Los Angeles, with visible smoke, requiring fire department attention.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"ARE YOU KIDDING ME?! Another fire in the Hollywood Hills near Runyon Canyon?! This is what happens when you let corporations run wild! 🔥😡 The smoke is thick near Mulholland Drive, can barely see! Someone PLEASE send help before everything burns down! #Wildfire #Emergency #LosAngeles #ClimateEmergency",Hollywood Hills near Runyon Canyon,34.11042094136958,-118.37031098373151,2025-01-09 09:34:20.661168,False,,Fire,True,2,,Report of a wildfire in Hollywood Hills near Runyon Canyon with thick smoke and a request for help.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"Oh my god, there's a HUGE fire near Temescal Canyon Park in Pacific Palisades! 😭 The smoke is so thick, and I can see flames from my window. Seems to be moving fast towards the houses on the ridge! Praying everyone is safe! 🙏 #Wildfire #PacificPalisades #Emergency Someone please send help!",Pacific Palisades,34.07458191636382,-118.5566511658484,2025-02-06 03:45:13.982549,False,,Fire,True,1,,"Large wildfire reported near Temescal Canyon Park, Pacific Palisades, moving towards houses and requiring immediate assistance.","['firefighters', 'police', 'ambulance']"
West Hills,Incident Report,"Firefighters where are you? #LAFire #CityOfLA""",West Hills,34.19023933684331,-118.61382102175268,2025-01-09 21:48:47.433765,True,image_tweets/4.jpg,Fire,True,2,,"User is asking for the whereabouts of firefighters in LA, possibly indicating an ongoing fire incident requiring immediate firefighter response.",['firefighters']
West Hills,Incident Report,"Yo, West Hills is literally ON FIRE 🔥! Like, near that park by Valley Circle? Saw flames jumpin' high af. This ain't no BBQ, people! #Wildfire #Emergency Someone get the marshmallows... jk... kinda. Seriously tho, be safe! 😬",West Hills,34.180418632464814,-118.61906191128662,2025-01-11 10:49:54.178596,False,,Fire,True,2,,Wildfire reported in West Hills near Valley Circle with high flames.,"['firefighters', 'police', 'ambulance']"
West Hills,Incident Report,"Yo, West Hills is kinda lit... literally! 🔥 Huge smoke cloud near Platt Ranch Open Space, like, is this the end?! 😱 Hope everyone's GTFO-ing! #Wildfire #Emergency #LosAngeles Someone send water... and pizza. 🍕",West Hills,34.19638477048422,-118.61060612664258,2025-01-11 06:07:26.971813,False,,Fire,True,2,,"Report of a wildfire with a large smoke cloud near Platt Ranch Open Space in West Hills, Los Angeles, potentially requiring evacuation.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Distress Call,"Oh my god, there's a HUGE fire near Temescal Canyon Park in Pacific Palisades! 😭 The smoke is so thick, I can barely see. Seems to be moving fast towards the houses on the ridge! Someone please send help! #Wildfire #Emergency #PacificPalisades",Pacific Palisades,34.0702320568831,-118.55632703816444,2025-01-15 01:58:45.583192,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon Park in Pacific Palisades, rapidly spreading towards residential areas and requiring immediate assistance.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,"Ugh, this is NOT the vibe. 🔥 Wildfire near Runyon Canyon in the Hollywood Hills is getting kinda close to my house! Like, seriously, is this the apocalypse?? Pls send help before my selfie lighting is ruined! #Wildfire #Emergency #LosAngeles 🆘",Hollywood Hills near Runyon Canyon,34.11604495106356,-118.33152953671184,2025-01-09 11:44:07.954255,False,,Fire,True,2,,"Wildfire near Runyon Canyon is approaching a house, help is requested.","['firefighters', 'police', 'ambulance']"
West Hills,Evacuation Warning,"Oh god, oh god. Evacuation WARNING in West Hills near Roscoe and Valley Circle! 😭 I can see smoke from my backyard. My kids are terrified! Packing everything NOW. Please tell me everyone is getting out okay! #Wildfire #WestHills #Evacuation #LosAngeles",West Hills,34.18582179399327,-118.66068139745246,2025-01-11 22:30:27.203555,False,,Fire,True,2,,"Wildfire evacuation warning in West Hills near Roscoe and Valley Circle, smoke visible, residents are packing and terrified.","['firefighters', 'police', 'ambulance']"
Acton,Evacuation Warning,"Acton residents near Red Rock Canyon, heads up! ⚠️ Getting an evacuation WARNING. Smoke is getting thick and I can see flames on the ridge. Pack your stuff NOW! #Wildfire #Acton #Emergency #LosAngeles Praying for everyone 🙏",Acton,34.48034920810572,-118.1762896953977,2025-01-09 02:27:51.354903,False,,Fire,True,2,,Wildfire reported near Red Rock Canyon in Acton with evacuation warning and visible flames.,"['firefighters', 'police', 'ambulance']"
Pacific Palisades,Request for Emergency Help,"Oh dear, oh dear! There's a HUGE fire near Sunset Blvd in Pacific Palisades! 😥 I can see the flames from my window, near that fancy golf course! I think it's getting closer to my house! I don't know what to do! Is anyone else seeing this? Please send help! #Wildfire #Emergency I'm so scared! 🥺",Pacific Palisades,34.08166469068617,-118.53510609662406,2025-01-18 21:00:53.753655,False,,Fire,True,1,,"User reports a large wildfire near Sunset Blvd in Pacific Palisades, flames visible and approaching their house, requesting immediate help.","['firefighters', 'police', 'ambulance']"
West Hills,Roadblock or Escape Issue,"Heads up neighbors in West Hills! Big flames near Roscoe and Valley Circle! Looks like Topanga Cyn is blocked off, saw a bunch of cars turning around. Stay safe everyone! 🙏 #Wildfire #WestHills #Emergency. Hope everyone is ok!",West Hills,34.18967560307802,-118.64065329472982,2025-01-10 08:58:09.513635,False,,Fire,True,2,,"Report of a wildfire with big flames near Roscoe and Valley Circle in West Hills, Topanga Cyn is blocked off.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Evacuation Warning,ARE YOU KIDDING ME?! Another fire in the Hollywood Hills near Runyon Canyon?! This is what happens when you let corporations run wild! Evacuation WARNING?! More like evacuation MANDATORY! They're gonna burn us all out of our homes! Get out NOW! #Wildfire #Emergency #LosAngeles #GreedKills,Hollywood Hills near Runyon Canyon,34.10199730100282,-118.37397692014468,2025-01-09 03:35:17.194652,False,,Fire,True,2,,"Wildfire reported in Hollywood Hills near Runyon Canyon with evacuation warnings, indicating a potentially escalating situation requiring prompt attention from first responders.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Distress Call,Huge flames spotted near the Eaton Canyon area in Altadena! Looks like its spreading towards the houses on the ridge. Everyone be careful! Praying the wind doesn't pick up. #Wildfire #Altadena #Emergency Los Angeles,Altadena/Pasadena,34.17509626001161,-118.15945493470376,2025-01-22 07:21:00.400398,False,,Fire,True,2,,"Wildfire reported near Eaton Canyon, Altadena, spreading towards houses.","['firefighters', 'police', 'ambulance']"
West Hills,Fire Near Key Infrastructure,"URGENT: Wildfire rapidly approaching the West Hills Water Treatment Plant near Valley Circle Blvd. Crews are on scene, but the situation is escalating. Protecting critical infrastructure is paramount. Residents in the area, please be prepared to evacuate if necessary. Stay tuned for updates. #Wildfire #Emergency #LosAngeles",West Hills,34.18322276042622,-118.65944239053962,2025-01-10 21:38:29.627922,False,,Fire,True,3,,"Wildfire is rapidly approaching West Hills Water Treatment Plant near Valley Circle Blvd, crews are on scene and situation is escalating, potential evacuation may be needed.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,"Oh my gosh! 😱 I'm visiting from out of town and there's a HUGE fire near those fancy houses up in Pacific Palisades, like near the hiking trails! I think I saw it getting close to some power lines... is that bad? Should I be worried? #Wildfire #LosAngeles #Emergency 😬",Pacific Palisades,34.063790377689166,-118.5468438318432,2025-01-31 10:12:54.310176,False,,Fire,True,2,,"Large wildfire reported near Pacific Palisades houses and hiking trails, potentially threatening power lines.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,Oh god oh god! Fire's jumped Sunset Blvd in Pacific Palisades! 😭 We're trying to get out but everyone's panicking and the traffic is a NIGHTMARE. Can't even see through the smoke. Is Topanga Canyon Blvd even open?! Someone please tell me! #Wildfire #PacificPalisades #Emergency I'm so scared for my kids!,Pacific Palisades,34.076843361727605,-118.54387844576624,2025-02-24 06:14:54.936515,False,,Fire,True,1,,"Citizen reports wildfire has jumped Sunset Blvd in Pacific Palisades, causing panic and traffic congestion during evacuation with heavy smoke, requesting road information.","['firefighters', 'police', 'ambulance']"
Sylmar,Distress Call,"Ugh, this is NOT the vibe. 🔥 Huge flames near the Olive View hospital in Sylmar! Like, seriously, is this the apocalypse?? My mom's freaking out! #Wildfire #Emergency Someone send help ASAP! Plz and thx 🙏",Sylmar,34.31517127502802,-118.45519258087296,2025-01-11 08:54:04.027972,False,,Fire,True,2,,"Wildfire reported near Olive View hospital in Sylmar, help is requested.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Request for Emergency Help,"OMG! 😭 Huge flames near Temescal Canyon in Pacific Palisades! The wind is insane, pushing it towards the houses on the ridge! We need help NOW! Is anyone else seeing this?! #Wildfire #Emergency #PacificPalisades #LAFire",Pacific Palisades,34.04334848502431,-118.54135269811312,2025-02-03 23:47:11.123854,False,,Fire,True,1,,"Large wildfire reported near Temescal Canyon, Pacific Palisades, with wind pushing flames towards houses, immediate help is requested.","['firefighters', 'police', 'ambulance']"
Sylmar,Incident Report,"Heard sirens like crazy heading towards Sylmar, near the Foothill area. Smells like somethin' burnin' fierce. Hope everyone's gettin' out safe. #Wildfire #Emergency",Sylmar,34.29800037038175,-118.4209612312063,2025-01-13 01:07:21.110632,False,,Fire,True,2,,"Possible wildfire reported in Sylmar near Foothill area with strong burning smell and sirens heard, indicating a potentially escalating situation.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Distress Call,Oh god oh god! There's a fire raging near Sunset Blvd in Pacific Palisades! I can see the flames from my window and the smoke is so thick! I think its heading towards the park! Someone please send help! We need firefighters NOW! #Wildfire #Emergency #PacificPalisades,Pacific Palisades,34.060842357182096,-118.56305167256626,2025-03-14 13:00:54.293717,False,,Fire,True,1,,"Wildfire reported near Sunset Blvd in Pacific Palisades with visible flames and thick smoke, heading towards the park, immediate firefighter assistance is needed.",['firefighters']
Acton,Evacuation Warning,ATTENTION ACTON RESIDENTS: We are issuing an EVACUATION WARNING for areas near Soledad Canyon Road due to the rapidly spreading wildfire. Please prepare to evacuate immediately. Monitor official channels for updates. Your safety is our priority. #ActonFire #Wildfire #Emergency - LA County Official,Acton,34.48977232683033,-118.19070794671632,2025-01-10 14:20:35.945427,False,,Fire,True,2,,"Wildfire is rapidly spreading near Soledad Canyon Road in Acton, evacuation warning issued, residents to prepare for immediate evacuation.","['firefighters', 'police', 'ambulance']"
Sylmar,Request for Emergency Help,Huge flames near the Olive View-UCLA Medical Center in Sylmar! Looks like its spreading towards the hills! Anyone know if evacuations are happening? My elderly neighbor needs help getting out! #Wildfire #Emergency #SylmarFire Please send help!,Sylmar,34.3340031183863,-118.47623706025388,2025-01-11 11:55:46.494257,False,,Fire,True,1,,"Large flames reported near Olive View-UCLA Medical Center, spreading towards hills, neighbor requires evacuation assistance.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,"Oh god, getting evacuation warnings in Pacific Palisades near Sunset Blvd! 😭 My kids are at a friend's house near Palisades Village... I'm so scared! Is anyone else getting these warnings? #Wildfire #Emergency #LosAngeles Please be safe everyone!!",Pacific Palisades,34.04743475912748,-118.54825130034168,2025-01-30 19:20:51.390411,False,,Fire,True,2,,"Evacuation warnings issued in Pacific Palisades near Sunset Blvd due to wildfire, resident concerned about children near Palisades Village.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Roadblock or Escape Issue,Oh dear! Is anyone else stuck on Lake Avenue near that big church in Pasadena? 😥 The smoke is TERRIBLE and I think I see flames getting closer. Can't go north or south! What do I do? #Wildfire #Emergency I'm so scared! 🙏,Altadena/Pasadena,34.175731024606804,-118.14087627624212,2025-01-19 06:56:39.551946,False,,Fire,True,2,,"Citizen reports being stuck on Lake Avenue in Pasadena near a church due to heavy smoke and approaching flames from a potential wildfire, requiring immediate attention.","['firefighters', 'police', 'ambulance']"
Altadena/Pasadena,Request for Emergency Help,OMG! Huge flames near the Eaton Canyon area in Altadena! Looks like its heading towards some houses off Altadena Drive! We need help NOW! 😭 #Wildfire #Emergency #Altadena #Pasadena,Altadena/Pasadena,34.16317063518568,-118.11019625541168,2025-01-23 14:56:42.242263,False,,Fire,True,1,,"Large wildfire reported near Eaton Canyon in Altadena, rapidly approaching houses on Altadena Drive, immediate assistance urgently needed.","['firefighters', 'police', 'ambulance']"
Acton,Fire Near Key Infrastructure,"Oh my gosh! 😱 I'm visiting from out of state and there's a HUGE fire near some kinda big power lines in Acton, Los Angeles! Saw it from near the Sierra Highway. Is this normal?! Seems really close to those towers! Hope they're okay! #Wildfire #Emergency #LosAngeles #TouristInTrouble",Acton,34.4514139890543,-118.24538380303822,2025-01-10 04:25:01.969484,False,,Fire,True,2,,"Large wildfire reported near power lines in Acton, Los Angeles, posing potential threat to infrastructure.","['firefighters', 'police', 'ambulance']"
West Hills,Distress Call,"Yo, West Hills is lookin' HOT in the wrong way! See flames creepin' up near Roscoe and Valley Circle. Wind's a biatch, pushin' it towards houses. Get outta there! #Wildfire #Emergency. This ain't no scenic route, folks!",West Hills,34.18756923756992,-118.63429880093956,2025-01-11 20:34:54.721420,False,,Fire,True,2,,Wildfire reported near Roscoe and Valley Circle in West Hills is spreading towards houses due to wind and requires immediate attention from fire fighters and police to evacuate residents.,"['firefighters', 'police', 'ambulance']"
Acton,Distress Call,"Oh my god, there's a HUGE fire near the Acton Metrolink station! I can see flames from my backyard on Soledad Canyon! It's moving so fast, please send help! #Wildfire #Acton #Emergency 🚨",Acton,34.461608926771646,-118.22279168377388,2025-01-10 01:58:42.986462,False,,Fire,True,1,,"Large wildfire reported near Acton Metrolink station and Soledad Canyon, moving fast and requires immediate assistance.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Distress Call,Oh god oh god! 😭 Flames are RIGHT near the park by North Sepulveda! I can see it from my window! My kids are playing there sometimes! Is everyone okay?! Is anyone evacuating?! #Wildfire #LosAngeles #Emergency PLEASE tell me someone is doing something!,North Sepulveda,34.08496966872501,-118.45310982316202,2025-01-23 08:35:36.777942,False,,Fire,True,2,,"Citizen reports wildfire near North Sepulveda park, expressing concern for public safety and requesting emergency response.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"Oh god, oh god! Fire near the power station above Runyon Canyon in the Hollywood Hills! 😭 I can see flames getting close to the towers! If that goes, we're all screwed! Someone PLEASE do something! #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.101602927514406,-118.3604046853922,2025-01-09 03:47:58.952486,False,,Fire,True,2,,"Urgent wildfire reported near power station in Hollywood Hills with flames approaching power towers, immediate action needed.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Fire Near Key Infrastructure,ARE YOU KIDDING ME?! Another fire in Pacific Palisades?! Near that stupid golf course AGAIN?! They're letting this whole city burn while they water their lawns! This is INCOMPETENCE. Flames are RIGHT near the power station on Sunset Blvd! #Wildfire #Emergency #LosAngeles #PrioritiesWTF,Pacific Palisades,34.087667917872025,-118.51805929190252,2025-02-02 20:34:45.455675,False,,Fire,True,2,,"Wildfire reported in Pacific Palisades near Sunset Blvd and a power station, indicating a potentially escalating situation requiring prompt attention from first responders.","['firefighters', 'police', 'ambulance']"
North Sepulveda,Incident Report,"Yo, HUGE flames spotted near Mulholland Drive in North Sepulveda! 🔥 Like, seriously, is this the end of the world?? 😱 Wind's makin' it spread FAST. Someone call 911, I'm too busy panicking! #Wildfire #Emergency #LosAngeles #OMG",North Sepulveda,34.08884619704155,-118.469108071026,2025-01-24 08:23:51.594077,False,,Fire,True,2,,"Report of a large wildfire near Mulholland Drive, North Sepulveda, rapidly spreading due to wind, indicating a potentially dangerous and escalating situation.","['firefighters', 'police', 'ambulance']"
Sylmar,Evacuation Warning,Evacuation WARNING in Sylmar near the Foothill Truck Trail area! 😭 My kids are at my mom's near there! Anyone know how bad it is? Trying to get through but traffic is insane! #Wildfire #SylmarFire #Emergency Please be safe everyone!!,Sylmar,34.294141329684145,-118.43604916467484,2025-01-10 22:27:44.111558,False,,Fire,True,2,,"Evacuation WARNING issued in Sylmar near Foothill Truck Trail due to a wildfire, with reports of heavy traffic hindering evacuation efforts.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"URGENT: We are receiving reports of a brush fire escalating rapidly in the Hollywood Hills, near Runyon Canyon. Initial reports suggest proximity to critical communications infrastructure. LAFD is on scene. Residents in the vicinity should prepare for potential evacuation orders. Monitor official channels for updates. #Wildfire #Emergency #LosAngeles",Hollywood Hills near Runyon Canyon,34.10538652362973,-118.34130990324628,2025-01-09 15:00:39.611925,False,,Fire,True,3,,"Brush fire escalating rapidly in Hollywood Hills near critical infrastructure, LAFD is on scene and residents are preparing for evacuation.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Request for Emergency Help,OMG! There's a HUGE wildfire in the Hollywood Hills near Runyon Canyon! 😭 Flames are getting close to my building on Mulholland Drive! We need help NOW! Is anyone else seeing this?! #Wildfire #Emergency #LosAngeles PLEASE SEND HELP!,Hollywood Hills near Runyon Canyon,34.11494256822856,-118.35277029608262,2025-01-09 05:39:56.405887,False,,Fire,True,1,,"Large wildfire reported in Hollywood Hills near Runyon Canyon, flames are approaching buildings on Mulholland Drive, immediate help is requested.","['firefighters', 'ambulance', 'police']"
Hollywood Hills near Runyon Canyon,Fire Near Key Infrastructure,"ARE YOU KIDDING ME?! Another fire in the Hollywood Hills near Runyon Canyon?! This is what happens when you let corporations run wild! Now the power lines near Mulholland are threatened! They're gonna cut our power again, aren't they?! This is UNACCEPTABLE! #Wildfire #Emergency #LosAngeles #GreedKills",Hollywood Hills near Runyon Canyon,34.10316641542989,-118.36074891513704,2025-01-09 04:48:14.726890,False,,Fire,True,3,,"Wildfire reported in Hollywood Hills near Runyon Canyon, threatening power lines near Mulholland and potentially leading to power cuts.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Roadblock or Escape Issue,Heads up neighbors in Pacific Palisades! Sunset Blvd is CLOSED west of Chautauqua. Fire's jumped the ridge near Temescal Canyon. Can't get out that way! Stay safe everyone! 🙏 #Wildfire #Emergency #LosAngeles,Pacific Palisades,34.05423261486301,-118.51045329152194,2025-02-07 23:37:04.124324,False,,Fire,True,2,,"Wildfire has jumped the ridge near Temescal Canyon, closing Sunset Blvd west of Chautauqua, hindering evacuation.","['firefighters', 'police', 'ambulance']"
Sylmar,Incident Report,"ARE YOU KIDDING ME?! Another fire in Sylmar?! Near the damn reservoir AGAIN! They keep saying 'controlled burn' but my asthma is NOT controlled! This is negligence! Get your act together, LA! #Wildfire #SylmarFire #Emergency #ClimateCrisis 😡🔥",Sylmar,34.3085743000476,-118.44839850131972,2025-01-10 09:08:50.584755,False,,Fire,True,3,,"Citizen reports a fire in Sylmar near the reservoir, expressing concern about asthma and calling it negligence.","['firefighters', 'police']"
North Sepulveda,Incident Report,"Oh my stars! 🌟 There's a HUGE fire near that fancy shopping center on North Sepulveda... you know, the one near the big park? 🌳 So much smoke! I hope everyone is okay! 🙏 Is this a #Wildfire? Should I call someone? #Emergency I'm so confused!",North Sepulveda,34.08466169207721,-118.45756597712496,2025-01-23 09:38:00.944767,False,,Fire,True,2,,"User reports a large fire near a shopping center and park, expressing concern and asking if emergency services should be contacted.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Incident Report,"Oh god, there's a HUGE fire near Temescal Canyon in Pacific Palisades! The smoke is so thick, I can barely see! Is anyone else seeing this?? Praying it doesn't reach the houses on Sunset Blvd! #Wildfire #Emergency #PacificPalisades 😥",Pacific Palisades,34.08307355528802,-118.5374906842,2025-03-01 12:23:21.925162,False,,Fire,True,2,,"Large wildfire reported near Temescal Canyon in Pacific Palisades with thick smoke, posing a potential threat to houses on Sunset Blvd.","['firefighters', 'police', 'ambulance']"
Pacific Palisades,Evacuation Warning,EVACUATION WARNING for residents in the vicinity of Palisades Drive and Sunset Blvd due to rapidly approaching wildfire. Please prepare to evacuate immediately. Monitor official channels for updates. Your safety is our priority. #Wildfire #PacificPalisades #Emergency #LAFD,Pacific Palisades,34.0547536200577,-118.54759061072784,2025-02-22 12:07:58.182176,False,,Fire,True,2,,"Wildfire is rapidly approaching Palisades Drive and Sunset Blvd, residents are warned to evacuate immediately.","['firefighters', 'police', 'ambulance']"
Hollywood Hills near Runyon Canyon,Distress Call,"Uhhh, HUGE flames spotted near Runyon Canyon in the Hollywood Hills! 🔥 Like, is this real life?? Seems to be spreading towards that boujee neighborhood off Mulholland... Someone call 911, I'm kinda panicking! #Wildfire #Emergency #LosAngeles #HelpMe",Hollywood Hills near Runyon Canyon,34.105402414552486,-118.36932721236886,2025-01-09 10:59:34.765939,False,,Fire,True,2,,A large wildfire reported near Runyon Canyon in Hollywood Hills is spreading towards Mulholland and requires immediate attention.,"['firefighters', 'police', 'ambulance']"
